Sentences,POS Tags
इन दोनों Freight Corridor के इर्द गिर्द दिल्ली-मुंबई Industrial Corridor और अमृतसर-कोलकाता Industrial Corridor भी विकसित किए जा रहे हैं।,"[{'word': 'इन', 'entity': 'DET'}, {'word': 'दोनों', 'entity': 'DET'}, {'word': 'Freight Corridor', 'entity': 'PROPN'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'इर्द गिर्द', 'entity': 'ADP'}, {'word': 'और', 'entity': 'CONJ'}, {'word': 'भी', 'entity': 'PART'}, {'word': 'विकसित', 'entity': 'VERB'}, {'word': 'किए', 'entity': 'VERB'}, {'word': 'दिल्ली-मुंबई Industrial Corridor', 'entity': 'PROPN'}, {'word': 'अमृतसर-कोलकाता Industrial Corridor', 'entity': 'PROPN'}, {'word': 'हैं', 'entity': 'NOUN'}, {'word': 'जा रहे', 'entity': 'VERB'}, {'word': '।', 'entity': 'X'}]"
वहीं उत्तर प्रदेश में वाराणसी और गाज़ीपुर में दो बड़े Perishable Cargo Center पहले ही किसानों को सेवा दे रहे हैं।,"[{'word': 'उत्तर प्रदेश', 'entity': 'PROPN'}, {'word': 'वाराणसी', 'entity': 'PROPN'}, {'word': 'गाज़ीपुर', 'entity': 'PROPN'}, {'word': 'Perishable Cargo Center', 'entity': 'NOUN'}, {'word': 'और', 'entity': 'CONJ'}, {'word': 'दो', 'entity': 'NUM'}, {'word': 'बड़े', 'entity': 'ADJ'}, {'word': 'किसानों', 'entity': 'NOUN'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'वहीं', 'entity': 'ADV'}, {'word': 'पहले', 'entity': 'ADV'}, {'word': 'ही', 'entity': 'PART'}, {'word': 'को', 'entity': 'ADP'}, {'word': 'सेवा', 'entity': 'VERB'}, {'word': 'दे', 'entity': 'VERB'}, {'word': '।', 'entity': 'X'}, {'word': 'हैं', 'entity': 'VERB'}, {'word': 'रहे', 'entity': 'VERB'}]"
इसके अलावा जोगीघोपा में Inland Water Transport Terminal सहित ब्रह्मपुत्र पर 4 जगह टूरिस्ट जेटी बनाने का काम भी शुरु किया गया है।,"[{'word': '।', 'entity': 'X'}, {'word': 'इसके', 'entity': 'DET'}, {'word': 'जोगीघोपा', 'entity': 'PROPN'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'Inland Water Transport Terminal', 'entity': 'NOUN'}, {'word': 'ब्रह्मपुत्र', 'entity': 'NOUN'}, {'word': '4', 'entity': 'NUM'}, {'word': 'अलावा', 'entity': 'ADP'}, {'word': 'सहित', 'entity': 'ADP'}, {'word': 'पर', 'entity': 'ADP'}, {'word': 'जगह', 'entity': 'NOUN'}, {'word': 'टूरिस्ट', 'entity': 'ADJ'}, {'word': 'जेटी', 'entity': 'NOUN'}, {'word': 'बनाने', 'entity': 'VERB'}, {'word': 'काम', 'entity': 'NOUN'}, {'word': 'का', 'entity': 'PART'}, {'word': 'भी', 'entity': 'PART'}, {'word': 'शुरु', 'entity': 'VERB'}, {'word': 'किया', 'entity': 'VERB'}, {'word': 'है', 'entity': 'NOUN'}, {'word': 'गया', 'entity': 'VERB'}]"
अर्णव ने चुनौती स्‍वीकार की और इसलिए आज Republic TV जैसा नेटवर्क वो स्‍थापित कर पाए हैं।,"[{'word': 'अर्णव', 'entity': 'PROPN'}, {'word': 'Republic TV', 'entity': 'PROPN'}, {'word': 'नेटवर्क', 'entity': 'NOUN'}, {'word': 'ने', 'entity': 'ADP'}, {'word': 'चुनौती', 'entity': 'NOUN'}, {'word': 'स्\u200dवीकार', 'entity': 'VERB'}, {'word': 'की', 'entity': 'VERB'}, {'word': 'और', 'entity': 'CONJ'}, {'word': 'इसलिए', 'entity': 'ADV'}, {'word': 'आज', 'entity': 'ADV'}, {'word': 'जैसा', 'entity': 'ADP'}, {'word': 'वो', 'entity': 'PRON'}, {'word': 'स्\u200dथापित', 'entity': 'VERB'}, {'word': 'कर', 'entity': 'VERB'}, {'word': 'पाए', 'entity': 'VERB'}, {'word': 'हैं।', 'entity': 'VERB'}]"
"आपने देखा होगा, हाल ही में गुजरात पुलिस ने कच्छ के लखपत किले से Statue of Unity तक Bike Rally निकाली है।","[{'word': 'देखा', 'entity': 'VERB'}, {'word': 'आपने', 'entity': 'PRON'}, {'word': 'होगा,', 'entity': 'ADV'}, {'word': 'हाल', 'entity': 'NOUN'}, {'word': 'ही', 'entity': 'PART'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'गुजरात', 'entity': 'PROPN'}, {'word': 'पुलिस', 'entity': 'NOUN'}, {'word': 'ने', 'entity': 'ADP'}, {'word': 'कच्छ', 'entity': 'PROPN'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'लखपत', 'entity': 'PROPN'}, {'word': 'किले', 'entity': 'NOUN'}, {'word': 'से', 'entity': 'ADP'}, {'word': 'Statue of Unity', 'entity': 'PROPN'}, {'word': 'तक', 'entity': 'ADP'}, {'word': 'Bike Rally', 'entity': 'PROPN'}, {'word': 'निकाली', 'entity': 'VERB'}, {'word': 'है।', 'entity': 'VERB'}]"
त्रिपुरा पुलिस के जवान तो एकता दिवस मनाने के लिए त्रिपुरा से Statue of Unity तक Bike Rally कर रहे हैं।,"[{'word': 'त्रिपुरा', 'entity': 'PROPN'}, {'word': 'पुलिस', 'entity': 'NOUN'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'जवान', 'entity': 'NOUN'}, {'word': 'तो', 'entity': 'PART'}, {'word': 'एकता', 'entity': 'NOUN'}, {'word': 'दिवस', 'entity': 'NOUN'}, {'word': 'मनाने', 'entity': 'VERB'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'मनाने', 'entity': 'VERB'}, {'word': 'लिए', 'entity': 'ADP'}, {'word': 'त्रिपुरा', 'entity': 'PROPN'}, {'word': 'से', 'entity': 'ADP'}, {'word': 'Statue of Unity', 'entity': 'PROPN'}, {'word': 'तक', 'entity': 'ADP'}, {'word': 'Bike Rally', 'entity': 'PROPN'}, {'word': 'कर रहे', 'entity': 'VERB'}, {'word': 'हैं।', 'entity': 'VERB'}]"
जम्मू-कश्मीर पुलिस के जवान भी उरी से पठानकोट तक ऐसी ही Bike Rally निकालकर देश की एकता का संदेश दे रहे हैं।,"[{'word': 'जम्मू-कश्मीर', 'entity': 'PROPN'}, {'word': 'पुलिस', 'entity': 'NOUN'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'जवान', 'entity': 'NOUN'}, {'word': 'भी', 'entity': 'PART'}, {'word': 'उरी', 'entity': 'NOUN'}, {'word': 'से', 'entity': 'ADP'}, {'word': 'पठानकोट', 'entity': 'PROPN'}, {'word': 'तक', 'entity': 'ADP'}, {'word': 'ऐसी', 'entity': 'ADJ'}, {'word': 'ही', 'entity': 'PART'}, {'word': 'Bike Rally', 'entity': 'VERB'}, {'word': 'निकालकर', 'entity': 'VERB'}, {'word': 'देश', 'entity': 'NOUN'}, {'word': 'की', 'entity': 'ADP'}, {'word': 'एकता', 'entity': 'NOUN'}, {'word': 'का', 'entity': 'ADP'}, {'word': 'संदेश', 'entity': 'NOUN'}, {'word': 'दे रहे', 'entity': 'VERB'}, {'word': 'हैं।', 'entity': 'VERB'}, {'word': 'हैं।', 'entity': 'X'}]"
"यही नहीं, 1953 में श्रीमती विजया लक्ष्मी पंडित, UN General Assembly की पहली महिला President भी बनी थीं।","[{'word': 'श्रीमती विजया लक्ष्मी पंडित', 'entity': 'PROPN'}, {'word': ',', 'entity': 'X'}, {'word': 'UN General Assembly', 'entity': 'PROPN'}, {'word': 'की', 'entity': 'ADP'}, {'word': 'पहली', 'entity': 'ADJ'}, {'word': 'महिला', 'entity': 'NOUN'}, {'word': 'President', 'entity': 'PROPN'}, {'word': 'भी', 'entity': 'PART'}, {'word': 'बनी', 'entity': 'VERB'}, {'word': 'थीं', 'entity': 'PART'}, {'word': '।', 'entity': 'X'}, {'word': 'यही', 'entity': 'DET'}, {'word': 'नहीं', 'entity': 'PART_NEG'}, {'word': ', ', 'entity': 'X'}, {'word': '1953', 'entity': 'NUM'}, {'word': 'में', 'entity': 'ADP'}]"
इसके अलावा योग और आयुष को लोकप्रिय बनाने के लिए भारत WHO यानि World Health Organisation के साथ मिलकर काम कर रहा है।,"[{'word': 'इसके', 'entity': 'DET'}, {'word': 'अलावा', 'entity': 'ADP'}, {'word': 'योग', 'entity': 'NOUN'}, {'word': 'और', 'entity': 'CONJ'}, {'word': 'आयुष', 'entity': 'NOUN'}, {'word': 'को', 'entity': 'ADP'}, {'word': 'लोकप्रिय', 'entity': 'ADJ'}, {'word': 'बनाने', 'entity': 'VERB'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'लिए', 'entity': 'ADP'}, {'word': 'भारत', 'entity': 'PROPN'}, {'word': 'WHO', 'entity': 'PROPN'}, {'word': 'यानि', 'entity': 'PART'}, {'word': 'World Health Organisation', 'entity': 'PROPN'}, {'word': 'के', 'entity': 'ADP'}, {'word': 'साथ', 'entity': 'ADP'}, {'word': 'मिलकर', 'entity': 'VERB'}, {'word': 'काम', 'entity': 'NOUN'}, {'word': 'कर रहा', 'entity': 'VERB'}, {'word': 'है', 'entity': 'VERB'}, {'word': '।', 'entity': 'X'}]"
यहां तक कि Central Armed Police Forces में भी पिछले सात सालों में महिलाओं की संख्या लगभग दोगुनी हुई है।,"[{'word': 'यहां', 'entity': 'ADV'}, {'word': 'तक', 'entity': 'PART'}, {'word': 'कि', 'entity': 'CONJ'}, {'word': 'Central Armed Police Forces', 'entity': 'PROPN'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'भी', 'entity': 'PART'}, {'word': 'पिछले', 'entity': 'ADJ'}, {'word': 'सात', 'entity': 'NUM'}, {'word': 'सालों', 'entity': 'NOUN'}, {'word': 'में', 'entity': 'ADP'}, {'word': 'महिलाओं', 'entity': 'NOUN'}, {'word': 'की', 'entity': 'ADP'}, {'word': 'संख्या', 'entity': 'NOUN'}, {'word': 'लगभग', 'entity': 'ADV'}, {'word': 'दोगुनी', 'entity': 'ADJ'}, {'word': 'हुई', 'entity': 'VERB'}, {'word': 'है', 'entity': 'VERB'}, {'word': '।', 'entity': 'X'}]"
